sale_id,customer_id,product_id,quantity,order_date,discount,payment_mode,sales_person
1,C006,,2,2026-05-20,0.0,Cash,Karan
2,,P103,5,2026-01-27,,UPI,Pooja
3,C003,P105,2,2026-05-05,5.0,UPI,Pooja
4,,P104,3,2026-04-27,10.0,Cash,Amit
5,C002,P102,3,2026-06-04,10.0,UPI,Amit
6,C002,P103,5,2026-01-01,0.0,Card,Karan
7,C007,P103,2,2026-04-10,5.0,UPI,Karan
8,C003,P101,4,2026-04-14,5.0,Card,Pooja
9,C005,P104,2,2026-03-17,0.0,Card,Pooja
10,C007,P105,5,2026-01-10,,UPI,Karan
11,C005,P101,2,2026-05-05,,UPI,Karan
12,C005,,3,2026-03-14,,Card,Pooja
13,C003,P103,2,2026-05-30,,UPI,Karan
14,C008,P102,3,2026-02-12,5.0,UPI,Karan
15,C003,,2,2026-05-23,5.0,Cash,Amit
16,C007,P106,1,2026-06-22,5.0,Cash,Karan
17,C008,P105,2,2026-05-11,,Card,Pooja
18,C006,P106,1,2026-03-04,5.0,UPI,Amit
19,C002,P105,4,2026-06-30,5.0,Cash,Pooja
20,C007,P103,5,2026-06-18,10.0,Cash,Karan
21,C005,P106,2,2026-01-30,0.0,Cash,Amit
22,C008,P106,3,2026-04-08,0.0,UPI,Amit
23,C002,P105,5,2026-06-16,5.0,Card,Karan
24,C002,P101,1,2026-03-30,10.0,Card,Amit
25,C007,P106,3,2026-01-04,5.0,UPI,Amit
26,,,3,2026-05-21,,UPI,Karan
27,C004,P105,1,2026-03-15,10.0,Card,Amit
28,C003,P101,2,2026-04-03,10.0,UPI,Amit
29,C002,P102,5,2026-06-25,,Card,Karan
30,C005,,5,2026-04-14,0.0,Card,Karan
31,C004,P103,1,2026-04-18,0.0,UPI,Pooja
32,C001,P103,2,2026-03-03,5.0,Cash,Amit
33,C004,P103,3,2026-03-02,0.0,UPI,Karan
34,C006,P104,3,2026-03-18,0.0,Cash,Karan
35,C001,,3,2026-01-07,5.0,Cash,Karan
36,C007,P102,2,2026-03-19,5.0,UPI,Amit
37,C007,P104,3,2026-01-12,10.0,Cash,Pooja
38,C005,P102,1,2026-06-03,0.0,UPI,Pooja
39,C002,P106,4,2026-06-02,,Cash,Amit
40,C004,P103,2,2026-05-11,5.0,Cash,Karan
